title,artist,top genre,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness ,popularity
telepatía,Kali Uchis,colombian pop,2020,84,52,65,-9,20,55,160,11,5,86
Levitating (feat. DaBaby),Dua Lipa,dance pop,2020,103,83,70,-4,7,92,203,1,6,85
Godzilla (feat. Juice WRLD),Eminem,detroit hip hop,2020,166,75,81,-5,29,83,211,14,34,84
Levitating,Dua Lipa,dance pop,2020,103,88,70,-2,21,91,204,6,8,84
positions,Ariana Grande,pop,2020,144,80,74,-5,9,68,172,47,9,84
death bed (coffee for your head),Powfu,sad lo-fi,2020,144,43,73,-9,70,35,173,73,14,83
Don't Start Now,Dua Lipa,dance pop,2020,124,79,79,-5,10,68,183,1,8,83
Dynamite,BTS,k-pop,2020,114,77,75,-4,9,74,199,1,10,83
Heartbreak Anniversary,Giveon,r&b,2020,89,47,45,-9,30,54,198,52,8,83
Lose You To Love Me,Selena Gomez,pop,2020,103,34,49,-9,21,10,206,56,4,83
Ghost,Justin Bieber,canadian pop,2021,154,74,60,-6,42,44,153,19,5,88
Shivers,Ed Sheeran,pop,2021,141,86,79,-3,4,82,208,28,9,88
Bad Habits,Ed Sheeran,pop,2021,126,89,81,-4,37,54,231,5,3,87
Happier Than Ever,Billie Eilish,art pop,2021,81,23,33,-9,13,30,299,77,3,87
STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,170,76,59,-5,10,48,142,4,5,87
traitor,Olivia Rodrigo,pop,2021,101,34,38,-8,12,8,229,69,3,87
Where Are You Now,Lost Frequencies,belgian edm,2021,121,64,67,-8,17,26,148,52,10,87
Woman,Doja Cat,dance pop,2021,108,76,82,-4,12,88,173,9,9,87
Cold Heart - PNAU Remix,Elton John,glam rock,2021,116,80,80,-6,10,94,203,3,3,86
deja vu,Olivia Rodrigo,pop,2021,181,61,44,-7,37,18,216,58,11,86
drivers license,Olivia Rodrigo,pop,2021,144,43,56,-9,11,14,242,77,6,86
Fair Trade (with Travis Scott),Drake,canadian hip hop,2021,168,47,67,-9,22,29,291,5,26,86
good 4 u,Olivia Rodrigo,pop,2021,167,66,56,-5,8,69,178,34,15,86
STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,170,76,59,-5,10,48,142,4,5,86
Until I Found You,Stephen Sanchez,gen z singer-songwriter,2021,101,51,54,-6,17,23,178,73,3,86
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,rap,2022,98,62,72,-6,8,17,222,42,5,96
Calm Down (with Selena Gomez),Rema,afrobeats,2022,107,81,80,-5,11,80,239,38,4,95
Anti-Hero,Taylor Swift,pop,2022,97,64,64,-7,14,53,201,13,5,94
Here With Me,d4vd,bedroom pop,2022,132,47,57,-8,13,29,242,53,3,94
I'm Good (Blue),David Guetta,big room,2022,128,97,56,-4,37,30,175,0,3,94
Kill Bill,SZA,pop,2022,89,74,64,-6,16,42,154,5,4,94
I Ain't Worried,OneRepublic,piano rock,2022,140,80,70,-6,5,83,148,8,5,93
Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap,argentine hip hop,2022,128,78,62,-6,23,55,199,1,4,93
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,gen z singer-songwriter,2022,101,55,55,-5,20,34,176,78,3,93
As It Was,Harry Styles,pop,2022,174,73,52,-5,31,66,167,34,6,92
Me Porto Bonito,Bad Bunny,reggaeton,2022,92,71,91,-5,9,43,179,9,8,92
Players,Coi Leray,new jersey underground rap,2022,105,52,95,-6,5,62,140,3,16,92
Escapism.,RAYE,uk contemporary r&b,2022,96,74,54,-5,9,25,272,14,11,91
Ojitos Lindos,Bad Bunny,reggaeton,2022,80,69,65,-6,53,27,258,8,4,91
Unholy (feat. Kim Petras),Sam Smith,pop,2022,131,47,71,-7,27,24,157,1,9,91
Flowers,Miley Cyrus,pop,2023,118,68,71,-4,3,65,200,6,7,98
Cupid - Twin Ver.,FIFTY FIFTY,k-pop girl group,2023,120,59,78,-8,35,73,174,44,3,97
BESO,ROSALÍA,pop,2023,95,64,77,-7,17,53,195,74,14,96
Boy's a liar Pt. 2,PinkPantheress,bronx drill,2023,133,81,70,-8,25,86,131,25,5,96
Daylight,David Kushner,gen z singer-songwriter,2023,130,43,51,-9,9,32,213,83,3,96
TQG,KAROL G,reggaeton,2023,180,63,72,-4,9,61,199,67,28,96
Die For You - Remix,The Weeknd,canadian contemporary r&b,2023,67,53,53,-6,44,50,233,23,7,93
Search & Rescue,Drake,canadian hip hop,2023,142,44,82,-8,33,54,272,6,7,91
Last Night,Morgan Wallen,contemporary country,2023,204,68,52,-5,15,52,164,46,4,90
Yandel 150,Yandel,latin hip hop,2023,168,73,78,-4,10,58,216,5,7,90
Double Fantasy (with Future),The Weeknd,canadian contemporary r&b,2023,119,57,60,-7,50,10,268,1,3,89
Eyes Closed,Ed Sheeran,pop,2023,107,53,78,-6,11,39,195,30,6,89
Never Felt So Alone,Labrinth,indie poptimism,2023,98,41,44,-4,38,36,160,50,5,89
Heaven,Niall Horan,pop,2023,92,76,57,-3,33,68,186,7,3,87
FLOWER,JISOO,k-pop,2023,124,38,84,-8,7,60,173,2,4,86
