title,artist,top genre,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness ,popularity
My Boo,Usher,atl hip hop,2004,86,51,66,-8,5,68,223,26,12,80
Drop It Like It's Hot,Snoop Dogg,g funk,2004,92,63,89,-4,10,66,266,19,22,78
Unwritten,Natasha Bedingfield,dance pop,2004,100,80,71,-6,8,63,259,1,4,78
Call on Me - Radio Mix,Eric Prydz,edm,2004,126,84,60,-7,84,45,171,0,38,77
Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76
Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,100,82,78,-6,41,76,218,28,7,86
Feel Good Inc.,Gorillaz,alternative hip hop,2005,139,71,82,-7,61,77,223,1,18,85
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,85
Hate It Or Love It,The Game,gangster rap,2005,100,79,80,-5,12,44,206,14,21,83
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,82
Before He Cheats,Carrie Underwood,classic oklahoma country,2005,148,75,52,-3,12,29,200,27,4,81
Gold Digger,Kanye West,chicago rap,2005,93,70,63,-6,6,62,208,2,35,81
How to Save a Life,The Fray,neo mellow,2005,122,74,64,-4,10,36,263,27,4,81
Love,Keyshia Cole,hip pop,2005,117,52,69,-4,10,32,255,6,3,81
Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,81
Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,81
Hey There Delilah,Plain White T's,modern rock,2005,104,29,66,-11,11,30,233,87,3,80
Just A Lil Bit,50 Cent,east coast hip hop,2005,97,69,49,-7,32,53,238,3,41,80
Lonely,Akon,dance pop,2005,90,53,63,-8,26,62,236,34,3,80
"Sugar, We're Goin Down",Fall Out Boy,emo,2005,162,84,49,-5,12,57,229,1,8,80
Promiscuous,Nelly Furtado,canadian latin,2006,114,97,81,-6,15,87,242,6,5,85
Smack That,Akon,dance pop,2006,119,74,94,-5,11,92,212,32,5,83
Chasing Cars,Snow Patrol,irish rock,2006,104,60,56,-5,13,14,268,20,3,82
Maneater,Nelly Furtado,canadian latin,2006,133,78,80,-5,12,79,259,3,4,82
Say It Right,Nelly Furtado,canadian latin,2006,117,87,87,-6,5,81,223,5,14,82
Teenagers,My Chemical Romance,emo,2006,112,86,46,-3,18,86,162,5,6,82
Back To Black,Amy Winehouse,british soul,2006,123,42,40,-14,9,38,241,13,4,81
Snow (Hey Oh),Red Hot Chili Peppers,alternative rock,2006,105,90,43,-4,12,60,335,12,5,81
Put Your Records On,Corinne Bailey Rae,british soul,2006,96,51,74,-8,13,54,215,17,4,80
SexyBack (feat. Timbaland),Justin Timberlake,dance pop,2006,117,58,97,-6,5,96,243,6,8,80
Crazy,Gnarls Barkley,atl hip hop,2006,112,59,86,-5,11,64,177,5,3,79
Dani California,Red Hot Chili Peppers,alternative rock,2006,96,91,56,-2,35,73,282,2,4,79
So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,79
Supermassive Black Hole,Muse,modern rock,2006,120,92,67,-4,9,78,212,5,4,79
Welcome to the Black Parade,My Chemical Romance,emo,2006,97,91,22,-4,22,24,311,0,8,79
Flashing Lights,Kanye West,chicago rap,2007,90,63,64,-8,39,43,238,4,4,86
Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,83
The Way I Are,Timbaland,dance pop,2007,115,81,73,-6,32,77,179,18,10,83
Homecoming,Kanye West,chicago rap,2007,87,75,67,-7,12,92,203,34,19,82
What I've Done,Linkin Park,alternative metal,2007,120,93,62,-5,14,29,206,1,3,82
Gimme More,Britney Spears,dance pop,2007,113,84,79,-3,7,38,251,25,3,81
This Is The Life,Amy Macdonald,scottish singer-songwriter,2007,95,88,63,-5,7,85,184,26,3,81
Bleed It Out,Linkin Park,alternative metal,2007,140,97,53,-4,61,60,166,11,5,80
Fluorescent Adolescent,Arctic Monkeys,garage rock,2007,112,83,65,-5,12,79,184,0,3,80
The Pretender,Foo Fighters,alternative metal,2007,173,96,43,-4,3,37,269,0,4,80
Thnks fr th Mmrs,Fall Out Boy,emo,2007,155,89,46,-5,11,59,204,1,6,80
Beautiful Girls,Sean Kingston,dance pop,2007,130,66,76,-6,26,77,225,15,7,79
Can't Tell Me Nothing,Kanye West,chicago rap,2007,80,62,60,-6,82,10,272,1,4,79
Give It To Me,Timbaland,dance pop,2007,111,71,98,-4,8,82,234,17,6,79
Kids,MGMT,alternative rock,2007,123,93,45,-4,36,17,303,0,7,79
Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,42,242,10,3,88
Heartless,Kanye West,chicago rap,2008,88,65,79,-6,25,65,211,5,14,87
Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,85
Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,37,203,0,5,83
Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,82
I'm Yours,Jason Mraz,acoustic pop,2008,151,44,70,-9,10,71,243,56,4,82
Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,82
Poker Face,Lady Gaga,art pop,2008,119,81,85,-5,12,79,237,12,8,82
Just Dance,Lady Gaga,art pop,2008,119,74,82,-5,18,75,242,3,3,81
Walking On A Dream,Empire of the Sun,australian dance,2008,127,70,87,-6,6,72,198,26,5,81
Disturbia,Rihanna,barbadian pop,2008,125,81,71,-5,17,72,239,9,6,80
American Boy,Estelle,neo soul,2008,118,73,69,-3,7,52,285,17,38,79
Forever,Chris Brown,r&b,2008,120,82,67,-4,18,44,279,4,5,79
Kiss Me Thru The Phone,Soulja Boy,atl hip hop,2008,150,71,76,-4,7,80,193,2,11,79
Love Story,Taylor Swift,pop,2008,119,74,62,-4,8,31,236,13,3,79
Bad Romance,Lady Gaga,art pop,2009,119,92,70,-4,8,71,295,0,4,84
Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,84
I Gotta Feeling,Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,83
Party In The U.S.A.,Miley Cyrus,pop,2009,96,70,65,-5,9,47,202,0,4,83
Dog Days Are Over,Florence + The Machine,baroque pop,2009,150,81,50,-5,12,26,253,3,9,82
Rude Boy,Rihanna,barbadian pop,2009,174,75,56,-4,8,81,223,11,13,81
Run This Town,JAY-Z,east coast hip hop,2009,87,92,63,-2,26,44,268,28,29,81
Down,Jay Sean,dance pop,2009,132,68,73,-4,8,73,213,1,3,80
Fireflies,Owl City,indietronica,2009,180,66,51,-7,12,47,228,3,4,80
Monster,Skillet,alternative metal,2009,135,96,64,-2,8,69,178,4,7,79
Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,78
Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,78
Secrets,OneRepublic,piano rock,2009,148,76,52,-6,12,38,225,7,4,77
She Wolf,Shakira,colombian pop,2009,122,69,87,-7,23,87,189,28,4,77
The Climb,Miley Cyrus,pop,2009,161,60,34,-6,14,30,235,6,3,77
Sure Thing,Miguel,r&b,2010,81,61,68,-8,19,50,195,3,10,91
"Hey, Soul Sister",Train,dance pop,2010,97,89,67,-4,8,80,217,19,4,84
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,84
Only Girl (In The World),Rihanna,barbadian pop,2010,126,71,79,-4,6,64,235,11,4,84
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,83
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,83
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,82
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,2010,128,76,72,-4,32,62,201,1,5,82
Not Afraid,Eminem,detroit hip hop,2010,115,95,86,-1,21,67,248,53,26,82
S&M,Rihanna,barbadian pop,2010,128,68,77,-5,9,84,244,1,4,82
Danza Kuduro,Don Omar,latin hip hop,2010,89,92,40,-5,5,88,199,8,28,81
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,81
Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,6,42,221,1,4,81
Super Bass,Nicki Minaj,hip pop,2010,127,86,72,-4,60,67,200,27,20,81
All Of The Lights,Kanye West,chicago rap,2010,142,80,53,-3,18,22,300,8,7,80
Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,78,219,13,31,86
Set Fire to the Rain,Adele,british soul,2011,108,67,60,-4,11,45,243,0,2,86
Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,21,279,5,3,85
We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,85
